KPIs_met >80%,awards_won?,department,avg_training_score,gender,region,length_of_service,education,age,recruitment_channel,previous_year_rating_bin,no_of_trainings_bin,KMeans_Clusters,is_promoted
1,0,1,83,0,1,3,0,29,2,4,1,1,0
0,0,4,48,0,1,1,0,23,2,0,0,0,0
0,0,4,47,0,22,2,1,37,2,1,0,0,0
0,0,4,51,0,22,1,2,26,2,0,0,0,0
1,0,2,61,0,30,2,0,28,2,4,0,0,0
0,0,3,66,1,23,8,1,39,0,3,0,0,0
1,0,1,82,0,7,3,0,27,0,3,1,1,0
0,0,3,71,1,17,8,1,36,2,3,0,1,0
0,0,5,76,1,0,14,0,58,0,2,0,1,0
0,0,4,47,0,24,19,0,46,2,1,0,0,0
0,0,3,71,0,0,2,0,27,2,1,0,1,0
0,0,4,49,0,14,9,1,38,2,3,0,0,0
0,0,5,82,1,7,7,0,30,0,1,0,1,0
0,0,4,50,1,0,3,2,37,2,2,0,0,0
0,0,0,58,1,8,5,0,31,2,2,0,0,0
1,0,3,72,0,24,7,0,30,2,4,0,1,0
0,0,5,79,1,18,11,0,37,0,2,0,1,0
0,0,4,50,0,15,7,0,31,0,2,0,0,0
1,0,6,44,0,20,5,0,32,0,4,0,0,0
0,0,1,85,0,3,7,2,31,0,4,0,1,0
1,0,2,56,1,1,7,1,34,0,4,0,0,1
0,0,6,52,1,7,5,0,31,2,2,0,0,0
1,0,4,54,0,2,7,1,50,0,1,0,0,0
0,0,5,83,0,0,15,1,43,2,1,0,1,0
0,0,1,84,0,0,5,1,34,2,2,0,1,0
0,0,3,68,0,0,7,0,34,0,1,0,1,0
0,0,0,60,1,1,4,0,28,0,1,0,0,0
0,0,0,57,0,4,1,0,27,0,0,0,0,0
1,0,8,86,0,22,8,1,35,0,4,0,1,0
1,0,1,87,0,0,2,0,26,0,2,0,1,1
0,0,4,46,0,17,10,2,39,2,2,0,0,0
0,0,5,80,0,0,12,0,53,0,1,0,1,0
0,0,7,63,0,2,1,0,26,0,0,0,0,0
0,0,2,64,1,7,10,1,39,2,2,0,0,0
0,0,1,86,0,0,6,1,40,0,3,0,1,0
0,0,5,82,0,18,7,0,42,2,3,0,1,0
0,0,5,78,1,18,6,1,32,0,1,1,1,0
1,0,1,88,0,31,2,0,28,0,3,0,1,0
0,0,4,52,0,0,6,2,26,2,2,1,0,0
0,0,2,65,0,2,4,2,27,0,2,1,0,0
1,0,7,61,0,1,1,3,27,2,0,1,0,1
0,0,4,46,1,3,6,1,33,0,4,0,0,0
0,0,4,50,1,1,5,0,30,2,1,1,0,0
0,0,4,47,1,2,10,1,40,2,3,1,0,0
1,0,4,52,0,3,3,0,29,0,4,0,0,1
1,0,4,51,0,9,2,1,35,0,4,0,0,0
0,0,4,53,0,1,5,0,26,2,3,3,0,0
1,1,5,77,0,7,6,1,32,2,4,0,1,1
0,0,2,54,0,17,5,0,32,2,4,1,0,0
0,0,1,88,1,31,1,0,26,2,0,0,1,0
0,0,4,46,0,1,3,0,23,0,2,0,0,0
0,0,5,82,0,17,1,0,28,0,0,0,1,0
1,0,2,56,0,17,1,0,31,0,0,0,0,1
0,0,6,50,1,0,6,1,32,2,4,0,0,0
1,0,8,84,0,13,8,0,31,0,4,0,1,0
1,0,3,68,1,0,5,1,60,0,3,0,1,0
1,0,4,51,1,1,2,0,28,2,4,1,0,0
1,0,1,82,0,9,5,0,32,2,3,0,1,0
1,0,2,61,0,8,3,0,36,2,3,1,0,0
0,0,7,57,0,0,2,0,34,0,2,0,0,0
0,0,5,79,0,21,3,0,30,2,2,0,1,0
1,0,0,61,1,0,3,2,38,0,3,0,0,0
0,0,5,79,0,23,2,0,26,2,3,0,1,0
0,0,5,79,1,0,2,0,27,1,4,1,1,0
0,0,4,47,0,10,9,0,39,0,2,0,0,0
0,0,4,53,0,7,9,1,33,0,2,1,0,0
0,0,0,55,0,0,8,0,34,0,3,0,0,0
0,0,4,53,0,1,4,1,31,0,1,0,0,0
0,0,4,52,1,1,1,0,28,2,0,0,0,0
0,0,7,60,0,26,3,0,30,2,2,0,0,0
1,0,2,59,0,17,4,0,38,0,4,0,0,0
1,0,6,51,0,0,10,2,35,2,4,0,0,0
0,0,5,81,1,17,5,0,32,2,1,0,1,0
0,0,4,52,0,0,8,1,33,0,1,0,0,0
0,0,5,77,0,21,8,1,35,0,1,0,1,0
1,0,4,51,0,1,4,0,29,0,2,0,0,0
0,0,5,84,1,25,10,0,32,2,2,0,1,0
1,0,6,50,0,0,5,1,40,0,4,0,0,0
1,0,1,87,0,1,4,0,28,2,3,0,1,0
1,0,0,61,1,9,2,0,26,0,4,0,0,0
1,0,4,65,0,7,2,1,30,0,3,0,0,1
1,0,0,58,0,1,5,1,30,2,4,0,0,0
0,0,3,68,0,3,3,0,35,0,1,0,1,0
0,0,0,60,0,2,3,0,35,0,2,0,0,0
0,0,1,80,0,13,3,0,37,2,2,1,1,0
1,0,2,58,1,0,8,0,34,2,1,0,0,0
0,1,6,61,1,22,3,1,34,0,4,0,0,1
0,0,5,80,0,0,5,0,38,1,4,0,1,0
1,0,4,47,0,27,3,0,30,2,4,0,0,0
1,0,4,51,1,0,5,0,32,2,2,0,0,0
1,0,5,81,1,3,7,1,33,0,4,0,1,0
0,0,3,70,0,0,13,1,55,0,2,0,1,0
0,0,3,74,1,0,9,1,34,2,3,0,1,0
0,1,1,83,0,4,5,1,40,2,4,0,1,1
0,0,5,80,0,7,8,0,37,2,2,0,1,0
1,0,2,67,1,3,5,0,29,0,3,0,1,0
0,0,5,81,1,3,6,1,33,0,4,0,1,0
0,0,4,46,0,1,4,0,30,0,3,0,0,0
0,0,4,49,0,0,4,0,38,0,1,0,0,0
1,0,2,56,0,0,10,0,38,0,1,0,0,0
0,0,4,99,0,1,1,0,29,2,0,0,1,1
1,0,2,63,1,5,6,1,32,2,2,0,0,0
0,0,3,74,0,3,7,0,38,2,1,0,1,0
0,0,2,58,1,17,7,1,47,2,2,0,0,0
0,0,2,61,0,0,2,0,49,2,3,0,0,0
1,0,5,79,0,12,3,1,34,2,4,0,1,1
1,0,0,60,0,7,1,0,27,2,0,0,0,0
1,0,2,52,0,17,6,0,41,2,3,0,0,0
1,0,0,58,1,0,2,3,25,2,2,0,0,0
1,0,5,82,0,0,4,1,38,1,4,0,1,1
0,0,5,78,1,16,1,0,27,0,0,0,1,0
1,0,2,61,1,1,8,0,35,1,2,0,0,1
0,0,5,78,0,2,10,0,39,2,3,0,1,0
0,0,2,59,1,0,10,0,46,0,2,0,0,0
0,0,4,52,0,17,9,1,34,0,2,0,0,0
0,0,4,53,1,3,7,1,33,0,2,1,0,0
0,0,3,69,1,3,5,1,39,2,2,0,1,0
1,0,2,53,1,29,10,0,34,2,4,0,0,1
0,0,4,48,0,14,9,0,35,0,2,0,0,0
1,1,4,48,1,0,3,0,40,0,1,0,0,0
0,0,3,84,0,26,4,0,29,2,4,0,1,1
0,0,5,86,0,13,15,0,53,2,2,0,1,0
0,0,2,59,0,31,6,0,30,2,1,0,0,0
1,0,3,67,0,17,4,1,32,2,4,1,1,0
0,0,4,65,0,29,11,0,59,2,2,0,0,1
0,0,3,76,0,29,1,0,30,0,0,0,1,0
1,0,4,47,0,13,3,0,37,0,2,0,0,0
1,0,1,82,0,9,4,0,30,0,4,1,1,0
1,0,4,49,0,0,1,2,25,0,0,1,0,0
0,0,2,60,0,3,5,0,46,2,3,0,0,0
0,0,5,84,0,16,9,0,34,0,1,0,1,0
0,0,3,68,0,0,6,0,33,2,3,0,1,0
1,0,2,56,0,1,2,0,26,2,2,0,0,0
0,0,4,49,0,10,9,0,35,2,3,0,0,0
1,0,1,81,0,1,1,0,30,2,0,1,1,1
1,0,7,60,0,8,1,0,27,2,0,0,0,0
0,0,5,77,0,15,10,0,41,0,1,1,1,0
1,0,5,82,0,3,6,1,40,0,2,0,1,1
0,0,4,50,0,2,5,0,38,0,4,1,0,0
0,0,4,54,0,1,17,1,59,2,2,0,0,0
0,0,3,70,0,18,5,0,33,2,4,0,1,0
0,0,0,58,0,0,3,2,29,2,2,0,0,0
0,0,4,55,1,0,15,0,43,0,1,0,0,0
1,0,6,47,0,12,6,0,33,2,1,0,0,0
1,0,0,60,1,23,9,1,33,2,4,0,0,0
0,0,4,51,0,1,3,0,29,0,1,1,0,0
1,0,2,61,1,1,22,0,50,0,2,0,0,0
1,0,8,84,0,0,8,0,34,0,4,1,1,0
0,0,4,52,0,1,7,0,35,2,1,0,0,0
0,0,4,52,0,3,6,0,30,0,2,1,0,0
0,0,2,68,0,3,10,0,40,2,3,1,1,0
1,0,1,84,0,3,6,0,45,0,2,0,1,0
1,0,3,71,1,0,1,3,23,2,0,0,1,1
0,0,4,45,0,6,7,0,35,2,1,0,0,0
0,0,4,52,0,9,2,0,24,0,3,0,0,0
1,0,4,50,0,3,7,0,44,0,3,0,0,0
0,0,4,52,0,1,1,0,28,2,0,2,0,0
0,0,4,53,1,17,2,0,27,2,1,0,0,0
0,0,3,73,1,0,9,0,52,2,3,0,1,0
0,0,4,48,0,18,2,0,27,2,2,1,0,0
0,0,6,49,1,0,1,0,30,1,0,0,0,0
0,0,3,63,1,9,3,1,32,0,2,0,0,0
1,1,2,60,0,27,2,0,36,2,4,0,0,0
0,0,4,48,0,30,9,0,36,2,2,0,0,0
1,0,2,59,1,29,6,1,40,2,4,0,0,0
0,0,1,88,1,0,4,1,36,0,3,0,1,0
0,0,8,85,0,1,4,0,28,0,1,1,1,0
0,0,6,47,0,9,4,0,31,0,3,0,0,0
0,0,2,77,1,4,8,0,32,2,4,0,1,1
0,0,4,45,0,10,6,0,30,0,1,0,0,0
0,0,4,58,0,24,4,0,27,2,3,1,0,1
0,0,2,58,0,1,5,0,30,0,4,1,0,0
0,0,4,48,0,0,6,0,29,2,1,0,0,0
0,0,1,83,0,8,4,0,27,2,1,0,1,0
1,0,2,59,0,1,2,0,24,0,3,1,0,0
0,0,5,78,0,0,3,1,34,0,2,1,1,0
1,0,2,60,0,3,2,0,28,2,1,1,0,0
0,0,4,50,0,18,3,0,28,0,1,0,0,0
0,0,4,51,0,2,7,2,44,0,2,0,0,0
0,0,2,59,0,17,9,0,37,2,2,0,0,0
0,0,5,79,0,24,13,0,41,2,2,0,1,0
0,0,2,59,0,1,1,3,21,2,0,0,0,0
1,0,2,55,0,17,4,0,32,0,2,1,0,0
1,0,5,79,0,2,3,1,49,0,2,0,1,0
1,0,6,51,1,7,11,1,41,2,4,0,0,0
1,0,4,46,0,16,8,0,39,2,4,1,0,0
1,0,0,61,0,4,4,0,31,0,4,0,0,1
0,0,5,78,0,2,4,0,27,1,3,0,1,0
1,0,3,68,0,10,5,0,29,2,4,0,1,0
0,0,4,49,0,7,2,2,26,2,2,0,0,0
0,0,2,59,0,19,2,0,26,2,2,0,0,0
0,0,5,76,0,3,4,0,31,0,2,1,1,0
0,0,4,51,0,13,7,0,44,0,2,0,0,0
0,0,4,51,0,9,1,0,27,2,0,0,0,0
0,0,2,55,0,0,2,0,30,2,1,0,0,0
0,0,4,45,0,22,2,0,26,0,4,0,0,0
0,0,4,52,0,3,4,0,36,2,2,3,0,0
1,0,2,57,0,4,2,0,26,0,2,0,0,0
0,0,2,61,1,25,7,0,36,0,2,0,0,0
0,0,1,85,0,1,4,0,30,0,4,1,1,0
0,0,4,48,0,31,6,1,45,0,2,0,0,0
0,0,4,48,0,18,4,1,35,2,1,0,0,0
1,0,2,59,0,18,14,0,41,2,3,0,0,0
0,0,0,64,1,23,4,1,33,2,2,0,0,0
0,0,5,82,1,3,1,0,26,0,0,0,1,0
0,0,4,52,1,0,5,0,33,2,3,0,0,0
0,0,8,88,0,2,4,1,33,0,4,0,1,1
0,0,2,59,1,7,2,1,41,0,2,1,0,0
1,0,3,75,0,8,4,1,36,0,4,0,1,0
0,0,1,83,0,0,6,2,30,0,3,1,1,0
0,0,2,76,0,23,3,0,27,2,3,0,1,1
0,0,4,53,0,0,6,1,57,2,1,0,0,0
0,0,1,81,1,0,2,0,30,0,2,0,1,0
1,0,2,59,0,25,3,0,39,2,1,0,0,0
0,0,1,83,0,1,3,0,30,2,4,0,1,0
1,0,0,63,0,18,6,0,29,2,4,0,0,0
1,0,3,68,0,1,3,0,28,2,1,0,1,0
0,0,3,67,1,31,2,1,35,2,2,0,0,0
1,0,6,52,0,4,5,1,29,0,4,0,0,0
0,0,6,48,1,1,3,1,31,2,3,0,0,0
0,0,2,59,1,8,6,2,30,2,2,0,0,0
0,0,2,56,0,1,14,0,45,1,2,0,0,0
0,0,4,46,1,0,9,0,33,0,2,0,0,0
0,0,4,50,0,5,4,0,28,0,1,0,0,0
0,0,2,59,0,12,6,0,34,2,4,0,0,0
1,0,2,60,0,8,5,0,29,0,3,0,0,0
0,0,4,53,0,31,2,0,23,0,2,0,0,0
0,0,4,47,0,13,2,0,38,0,2,0,0,0
0,0,0,61,1,0,1,0,27,2,0,0,0,0
1,0,5,77,1,0,11,2,55,0,2,0,1,0
0,0,4,49,0,7,13,2,46,0,2,0,0,0
0,0,4,53,1,0,3,1,37,2,1,0,0,0
0,0,5,80,0,8,13,1,39,2,4,0,1,0
1,0,4,49,0,9,6,0,33,2,1,0,0,0
0,0,3,73,1,1,2,0,27,2,1,1,1,0
0,0,4,50,0,15,6,0,30,2,2,0,0,0
1,0,5,80,0,16,12,0,39,2,2,0,1,1
0,0,3,70,1,16,3,0,26,2,2,1,1,0
0,0,5,81,1,3,4,1,34,2,2,0,1,0
0,0,3,69,0,3,5,0,40,0,2,0,1,0
0,0,5,83,0,0,3,0,27,2,4,0,1,1
0,0,4,53,0,13,6,0,33,0,4,0,0,0
0,0,4,51,0,3,15,0,54,2,2,0,0,0
0,0,5,83,0,1,7,0,36,2,2,1,1,0
0,0,5,81,0,0,8,1,37,2,2,1,1,0
0,0,1,83,0,31,3,0,29,0,4,0,1,0
1,0,3,71,1,0,6,0,27,0,1,0,1,0
0,0,3,66,0,1,3,0,45,0,3,0,0,0
1,0,3,72,0,1,1,3,22,0,0,1,1,0
1,0,6,46,0,0,2,0,26,0,2,0,0,0
0,0,2,60,1,7,1,0,28,2,0,0,0,0
1,0,2,59,0,3,3,0,51,0,4,0,0,0
0,0,5,79,0,0,2,0,26,2,1,0,1,0
0,0,4,53,0,13,7,0,30,2,1,0,0,0
1,0,3,72,0,8,7,0,33,2,4,0,1,0
0,0,4,49,1,3,3,0,27,2,2,0,0,0
1,0,4,49,0,7,3,0,47,2,2,0,0,0
0,0,3,84,1,25,5,0,35,2,2,0,1,1
0,0,4,45,0,18,9,0,48,0,1,0,0,0
0,0,6,49,0,0,3,1,39,2,2,0,0,0
0,0,1,80,0,22,2,0,32,0,3,1,1,0
1,0,5,81,0,13,19,1,50,2,3,0,1,0
1,0,2,63,1,10,1,0,27,2,0,0,0,0
0,0,4,44,0,0,5,0,30,0,1,1,0,0
0,0,4,48,0,20,5,0,27,2,4,0,0,0
1,0,2,62,1,12,3,0,39,2,3,0,0,0
1,0,4,44,0,3,5,0,49,2,4,0,0,0
0,0,4,48,1,0,9,0,39,0,1,0,0,0
1,0,4,54,0,19,1,2,28,0,0,0,0,0
0,0,4,48,0,2,5,0,32,0,1,0,0,0
0,0,3,69,0,8,9,1,39,2,2,0,1,0
0,0,4,42,0,17,5,1,32,0,2,0,0,0
1,0,8,88,0,0,6,1,48,0,2,0,1,0
1,0,2,62,1,1,5,1,46,0,3,0,0,1
1,0,3,68,0,0,9,0,39,2,3,0,1,0
0,0,2,61,1,1,7,0,37,2,2,1,0,0
1,0,8,88,0,9,5,1,34,0,3,0,1,0
0,0,4,52,0,8,6,0,37,0,4,0,0,0
0,0,1,86,0,25,5,0,40,2,2,0,1,0
0,0,2,58,0,8,4,0,26,2,4,0,0,0
0,0,4,49,1,31,3,0,30,2,2,0,0,0
0,0,4,50,0,3,5,0,30,0,4,0,0,0
0,0,1,82,0,9,3,2,34,2,3,0,1,0
0,0,2,58,1,23,7,0,39,2,2,0,0,0
0,0,5,77,1,0,7,0,42,2,2,1,1,0
0,0,4,48,0,0,4,0,26,2,3,0,0,0
1,0,5,83,0,20,7,0,32,2,2,1,1,0
0,0,0,58,0,0,7,1,55,0,2,0,0,0
0,0,4,49,0,2,6,0,28,2,1,1,0,0
0,0,3,71,1,15,8,0,36,2,4,0,1,0
0,0,4,54,1,1,6,1,31,0,2,0,0,0
0,0,4,52,0,24,3,0,31,2,1,0,0,0
0,0,2,60,1,0,10,0,35,1,3,0,0,0
0,0,5,78,0,1,6,0,28,0,1,0,1,0
0,0,2,65,1,1,4,1,33,1,2,0,0,0
0,0,3,65,0,1,4,1,35,0,2,1,0,0
1,0,6,49,1,0,2,0,35,2,4,0,0,0
0,0,2,63,1,21,9,1,33,0,3,0,0,0
1,0,5,77,0,7,5,0,29,0,3,0,1,0
0,0,2,63,0,8,6,1,45,0,4,0,0,0
0,0,3,70,0,10,1,0,25,2,0,0,1,0
1,0,0,61,0,8,1,0,28,0,0,1,0,0
1,0,4,51,0,3,5,1,47,0,2,0,0,0
0,0,4,50,0,4,10,0,33,2,1,1,0,0
1,0,0,57,0,0,1,0,27,0,0,0,0,0
0,0,5,77,0,7,6,1,48,2,3,0,1,0
0,0,3,76,0,4,5,0,32,2,2,0,1,0
0,0,3,62,1,16,4,0,37,2,2,0,0,0
0,0,3,66,0,0,16,1,46,2,2,1,0,0
1,0,4,51,0,12,4,1,42,0,3,0,0,0
0,0,5,78,0,7,11,1,41,0,1,0,1,0
1,0,3,71,0,28,3,0,29,0,2,0,1,0
0,0,5,79,0,12,4,0,30,0,2,0,1,0
0,0,8,85,1,23,5,0,32,2,2,0,1,0
1,0,4,46,1,3,8,1,33,2,4,0,0,0
0,0,4,50,0,9,4,1,33,2,2,1,0,0
0,0,4,43,0,13,7,1,36,0,2,0,0,0
1,0,3,66,1,1,6,0,30,2,4,0,0,0
0,0,2,60,0,23,2,1,31,2,3,0,0,0
0,0,4,49,0,22,4,0,36,0,3,0,0,0
0,0,1,82,0,1,4,0,32,0,3,0,1,0
0,0,4,53,0,30,3,0,35,2,4,0,0,0
0,0,4,52,0,6,3,0,25,2,3,0,0,0
1,1,2,62,0,1,5,0,26,2,1,0,0,0
0,0,7,60,0,3,1,0,32,0,0,0,0,0
1,0,4,50,0,0,2,0,25,2,4,1,0,1
0,0,4,48,0,3,3,0,36,2,1,0,0,0
0,0,4,53,0,22,2,0,28,2,4,1,0,0
0,0,5,82,1,2,6,0,28,0,2,0,1,0
